Category: All categories

Week,Debt: (United States)
2004-01-04,94
2004-01-11,89
2004-01-18,89
2004-01-25,92
2004-02-01,90
2004-02-08,89
2004-02-15,89
2004-02-22,91
2004-02-29,90
2004-03-07,88
2004-03-14,82
2004-03-21,80
2004-03-28,81
2004-04-04,77
2004-04-11,87
2004-04-18,83
2004-04-25,83
2004-05-02,85
2004-05-09,78
2004-05-16,76
2004-05-23,80
2004-05-30,72
2004-06-06,87
2004-06-13,83
2004-06-20,86
2004-06-27,79
2004-07-04,82
2004-07-11,82
2004-07-18,82
2004-07-25,87
2004-08-01,85
2004-08-08,73
2004-08-15,72
2004-08-22,75
2004-08-29,76
2004-09-05,84
2004-09-12,77
2004-09-19,88
2004-09-26,94
2004-10-03,85
2004-10-10,86
2004-10-17,94
2004-10-24,83
2004-10-31,87
2004-11-07,88
2004-11-14,100
2004-11-21,81
2004-11-28,90
2004-12-05,86
2004-12-12,73
2004-12-19,55
2004-12-26,74
2005-01-02,86
2005-01-09,87
2005-01-16,87
2005-01-23,88
2005-01-30,82
2005-02-06,85
2005-02-13,86
2005-02-20,83
2005-02-27,78
2005-03-06,88
2005-03-13,83
2005-03-20,79
2005-03-27,85
2005-04-03,77
2005-04-10,85
2005-04-17,85
2005-04-24,86
2005-05-01,86
2005-05-08,75
2005-05-15,79
2005-05-22,75
2005-05-29,72
2005-06-05,78
2005-06-12,80
2005-06-19,71
2005-06-26,78
2005-07-03,71
2005-07-10,79
2005-07-17,80
2005-07-24,83
2005-07-31,78
2005-08-07,75
2005-08-14,77
2005-08-21,71
2005-08-28,71
2005-09-04,69
2005-09-11,79
2005-09-18,85
2005-09-25,86
2005-10-02,78
2005-10-09,76
2005-10-16,75
2005-10-23,73
2005-10-30,81
2005-11-06,75
2005-11-13,75
2005-11-20,62
2005-11-27,79
2005-12-04,80
2005-12-11,72
2005-12-18,56
2005-12-25,63
2006-01-01,78
2006-01-08,74
2006-01-15,79
2006-01-22,81
2006-01-29,85
2006-02-05,82
2006-02-12,81
2006-02-19,78
2006-02-26,78
2006-03-05,85
2006-03-12,87
2006-03-19,85
2006-03-26,80
2006-04-02,82
2006-04-09,86
2006-04-16,85
2006-04-23,82
2006-04-30,81
2006-05-07,82
2006-05-14,72
2006-05-21,74
2006-05-28,67
2006-06-04,75
2006-06-11,78
2006-06-18,76
2006-06-25,75
2006-07-02,68
2006-07-09,92
2006-07-16,85
2006-07-23,82
2006-07-30,80
2006-08-06,78
2006-08-13,77
2006-08-20,72
2006-08-27,73
2006-09-03,73
2006-09-10,77
2006-09-17,76
2006-09-24,83
2006-10-01,77
2006-10-08,80
2006-10-15,83
2006-10-22,81
2006-10-29,84
2006-11-05,79
2006-11-12,80
2006-11-19,69
2006-11-26,78
2006-12-03,79
2006-12-10,76
2006-12-17,62
2006-12-24,61
2006-12-31,72
2007-01-07,81
2007-01-14,77
2007-01-21,93
2007-01-28,81
2007-02-04,79
2007-02-11,77
2007-02-18,80
2007-02-25,82
2007-03-04,84
2007-03-11,83
2007-03-18,85
2007-03-25,86
2007-04-01,81
2007-04-08,86
2007-04-15,84
2007-04-22,89
2007-04-29,87
2007-05-06,82
2007-05-13,81
2007-05-20,78
2007-05-27,73
2007-06-03,81
2007-06-10,83
2007-06-17,78
2007-06-24,84
2007-07-01,74
2007-07-08,83
2007-07-15,87
2007-07-22,85
2007-07-29,83
2007-08-05,84
2007-08-12,83
2007-08-19,79
2007-08-26,80
2007-09-02,75
2007-09-09,80
2007-09-16,92
2007-09-23,79
2007-09-30,84
2007-10-07,85
2007-10-14,96
2007-10-21,86
2007-10-28,92
2007-11-04,92
2007-11-11,90
2007-11-18,76
2007-11-25,87
2007-12-02,83
2007-12-09,83
2007-12-16,76
2007-12-23,77
2007-12-30,86
2008-01-06,92
